severity,category,issue,details,recommendation,source
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 59°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -1°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127120140_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2433°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 322 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 18°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 37 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 30 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 79°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 61°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 68°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260126145617_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 4474°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 2075 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 20°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260126145617_clean.csv
