Row,Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],Engine Speed of Cyl Count3 [rpm],Engine Speed of Cyl Count4 [rpm],Engine Speed of Cyl Count5 [rpm],Engine Speed of Cyl Count6 [rpm],Fuel System Monitor,Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
211,71,1139.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,2.344
212,71,1147.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,2.344
213,71,1150,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,2.344
214,71,1152.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,2.344
215,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,1.562
216,71,1150,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
217,71,1155.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
218,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
219,71,1140.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
220,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
221,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
222,71,1146.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
223,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
224,71,1160,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
225,71,1154.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
226,71,1164.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
227,71,1166.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
228,71,1160,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
229,71,1153.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
230,71,1156.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
231,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
232,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
233,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
234,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0.781,1.562
235,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0.781,1.562
236,71,1053.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
237,71,882,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
238,71,716.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
239,71,530.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
240,71,418.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
241,71,271,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
242,71,189,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
243,71,114,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
244,71,114,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
245,71,114,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
246,71,114,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
247,71,0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
248,71,0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
249,71,0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
250,71,0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
251,71,0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0
252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
253,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
